item,itemLabel,itemDescription,mwcode
http://www.wikidata.org/entity/Q116221,Michel Corboz,Swiss conductor (1934-2021),M00000240757
http://www.wikidata.org/entity/Q116397,Paul Burkhard,Swiss composer (1911-1977),M00000277987
http://www.wikidata.org/entity/Q117335,Alexandre Denéréaz,Swiss composer (1875-1947),M00000315359
http://www.wikidata.org/entity/Q117741,Andy Razaf,"Malagasy-American poet, composer and lyricist (1895-1973)",M00000229651
http://www.wikidata.org/entity/Q119006,Bolesław Szabelski,Polish composer,M00000239624
http://www.wikidata.org/entity/Q121405,Giovanni Paolo Colonna,Italian composer,M00000236765
http://www.wikidata.org/entity/Q122657,Benedictus Ducis,German composer and Lutheran priest,M00000288533
http://www.wikidata.org/entity/Q123913,David Brandes,songwriter from Germany,M00000146575
http://www.wikidata.org/entity/Q124294,Arianna Savall,Spanish composer,M00000260122
http://www.wikidata.org/entity/Q127330,Frank Zappa,American musician (1940–1993),M00000239985
http://www.wikidata.org/entity/Q129552,Helge Norbakken,Norwegian jazz drummer,M00000295821
http://www.wikidata.org/entity/Q131821,Kid Crème,Belgian DJ,M00000146853
http://www.wikidata.org/entity/Q132682,Modest Petrovich Mussorgsky,Russian composer (1839-1881),M00000238644
http://www.wikidata.org/entity/Q134864,Moondog,American composer,M00000058969
http://www.wikidata.org/entity/Q138558,Marcus Rojas,American musician,M00000314401
http://www.wikidata.org/entity/Q138824,Danna Paola,"Mexican singer, model and actress",M00000403079
http://www.wikidata.org/entity/Q139223,Peter Maxwell Davies,English composer and conductor (1934-2016),M00000236927
http://www.wikidata.org/entity/Q144850,John Hollenbeck,American musician,M00000275344
http://www.wikidata.org/entity/Q150767,Benjamin Britten,"English composer, conductor, and pianist (1913-1976)",M00000236389
http://www.wikidata.org/entity/Q151084,Joaquín Rodrigo,"Spanish composer, best known for his Concierto de Aranjuez",M00000239173
http://www.wikidata.org/entity/Q151334,Philip Sainton,British composer,M00000239264
http://www.wikidata.org/entity/Q153455,Heinrich Biber,Bohemian-Austrian composer and violinist,M00000236108
http://www.wikidata.org/entity/Q153637,Dietrich Buxtehude,Danish-German organist and composer,M00000236512
